Country,Rank 2024,Rank 1995–2024,ISO,Income Group
The Bahamas,118.0,10.0,BHS,H
The Gambia,174.0,158.0,GMB,L
Togo,94.0,162.0,TGO,L
Tonga,164.0,76.0,TON,UM
Trinidad and Tobago,116.0,144.0,TTO,H
Tunisia,155.0,149.0,TUN,LM
Turkey,100.0,107.0,TUR,UM
Tuvalu,139.0,160.0,TUV,UM
Uganda,56.0,79.0,UGA,L
Ukraine,143.0,85.0,UKR,UM
United Arab Emirates,103.0,173.0,ARE,H
United Kingdom,106.0,65.0,GBR,H
United States of America,21.0,18.0,USA,H
Uruguay,79.0,116.0,URY,H
Uzbekistan,147.0,140.0,UZB,LM
Vanuatu,153.0,20.0,VUT,LM
Vietnam,10.0,14.0,VNM,LM
Zambia,38.0,104.0,ZMB,LM
Zimbabwe,25.0,34.0,ZWE,LM
